Order_ID,Order_Date,Region,Category,Sub-Category,Sales,Profit,Quantity,Customer_ID,Product_Name
ORD-79CE9F5F,2024-03-21,West,Technology,Phones,1192.09,510.12,4,CUST-7422,Phones - Model 111
ORD-0FB04059,2022-10-22,Central,Furniture,Chairs,858.91,-154.61,7,CUST-2863,Chairs - Model 815
ORD-3ACD78EB,2024-10-18,South,Office Supplies,Binders,1156.57,-62.98,3,CUST-6684,Binders - Model 926
ORD-B9C1B475,2023-11-21,West,Office Supplies,Binders,644.17,143.51,3,CUST-3450,Binders - Model 254
ORD-B4074E5E,2024-09-20,Central,Technology,Copiers,147.77,-1.23,1,CUST-2193,Copiers - Model 308
ORD-11050774,2022-10-18,Central,Furniture,Chairs,3291.41,1605.79,9,CUST-6330,Chairs - Model 572
ORD-A19680EE,2023-08-06,South,Technology,Copiers,2318.12,-108.07,6,CUST-7071,Copiers - Model 550
ORD-A4A0BD56,2023-01-13,East,Office Supplies,Binders,3588.39,1364.71,8,CUST-3056,Binders - Model 500
ORD-96E84F24,2022-08-30,West,Office Supplies,Paper,1619.12,123.62,10,CUST-4010,Paper - Model 460
ORD-965D53A7,2024-12-04,Central,Furniture,Bookcases,67.48,24.1,3,CUST-8034,Bookcases - Model 150
ORD-7FBA796A,2023-01-27,Central,Technology,Accessories,292.86,-40.17,1,CUST-9347,Accessories - Model 475
ORD-6AEE2A1D,2022-11-23,South,Technology,Accessories,1524.64,227.21,7,CUST-5707,Accessories - Model 982
ORD-84741573,2022-11-17,Central,Technology,Phones,705.24,273.59,10,CUST-1742,Phones - Model 179
ORD-3B19D523,2024-11-06,Central,Office Supplies,Pens,509.26,-96.3,3,CUST-3072,Pens - Model 194
ORD-CAE19C48,2024-03-20,South,Technology,Copiers,256.32,100.14,2,CUST-3089,Copiers - Model 225
ORD-54AF6092,2024-10-09,East,Technology,Accessories,2450.15,381.19,10,CUST-4047,Accessories - Model 808
ORD-BC1746CD,2023-03-26,West,Office Supplies,Paper,1452.92,47.15,5,CUST-6673,Paper - Model 934
ORD-C4C2E3D0,2024-05-21,South,Office Supplies,Binders,1103.16,323.13,6,CUST-4556,Binders - Model 868
ORD-398D36EF,2023-05-05,Central,Technology,Phones,3115.22,1133.91,8,CUST-7759,Phones - Model 529
ORD-8F485822,2023-07-08,Central,Furniture,Tables,1474.65,191.61,4,CUST-8036,Tables - Model 771
ORD-1CAD9267,2022-12-28,West,Furniture,Chairs,2007.29,253.28,6,CUST-7882,Chairs - Model 765
ORD-44B325B8,2023-08-24,West,Office Supplies,Paper,3386.8,-120.09,9,CUST-2975,Paper - Model 395
ORD-A173A6BD,2024-05-10,East,Furniture,Chairs,213.82,-19.09,5,CUST-2467,Chairs - Model 484
ORD-7ABC4D00,2022-10-19,East,Technology,Copiers,388.04,45.36,9,CUST-9072,Copiers - Model 695
ORD-055B7770,2024-08-19,East,Technology,Copiers,2108.65,-209.92,9,CUST-2859,Copiers - Model 440
ORD-4FC22BBC,2022-08-31,East,Furniture,Tables,3713.05,-431.35,10,CUST-9962,Tables - Model 892
ORD-966F580F,2023-03-30,South,Technology,Copiers,112.37,49.71,1,CUST-5620,Copiers - Model 227
ORD-7E3F6CEA,2023-07-21,South,Technology,Phones,1571.74,113.24,4,CUST-4351,Phones - Model 807
ORD-20D5787F,2022-07-16,Central,Technology,Accessories,349.82,-33.02,1,CUST-1037,Accessories - Model 360
ORD-0CF2F698,2023-02-25,South,Technology,Copiers,1755.03,391.1,8,CUST-2048,Copiers - Model 805
ORD-86B46C84,2022-07-08,West,Technology,Phones,889.32,-1.92,5,CUST-4221,Phones - Model 242
ORD-03086DC2,2022-10-17,South,Technology,Phones,393.9,40.6,1,CUST-3742,Phones - Model 873
ORD-54356AD5,2023-12-24,West,Office Supplies,Paper,2769.18,351.97,10,CUST-9478,Paper - Model 399
ORD-69689AA4,2022-11-09,Central,Furniture,Bookcases,2179.67,547.94,7,CUST-8461,Bookcases - Model 589
ORD-78D0E531,2022-08-17,West,Technology,Accessories,148.42,69.96,2,CUST-6713,Accessories - Model 129
ORD-B051E6A9,2022-11-28,East,Technology,Copiers,1114.25,236.65,5,CUST-3146,Copiers - Model 769
ORD-213279CE,2022-12-30,Central,Office Supplies,Paper,3653.34,1430.76,9,CUST-9089,Paper - Model 573
ORD-5AF3CE20,2022-06-30,South,Office Supplies,Binders,620.33,29.92,5,CUST-1332,Binders - Model 967
ORD-F01FD6C3,2022-12-27,South,Technology,Copiers,1181.54,237.24,4,CUST-9475,Copiers - Model 465
ORD-EAED484C,2022-03-31,South,Technology,Copiers,918.49,167.48,3,CUST-1292,Copiers - Model 806
ORD-E1AB6127,2022-03-20,East,Office Supplies,Paper,1425.88,171.52,7,CUST-9338,Paper - Model 439
ORD-4B195D17,2022-03-24,Central,Furniture,Bookcases,120.34,-0.26,2,CUST-3835,Bookcases - Model 711
ORD-2031AB13,2022-05-21,South,Furniture,Tables,1335.08,578.05,3,CUST-9652,Tables - Model 639
ORD-2AD5FBE9,2022-06-22,South,Technology,Copiers,267.44,109.52,6,CUST-8643,Copiers - Model 788
ORD-ECD5AE9D,2023-09-11,East,Office Supplies,Pens,465.67,-28.52,1,CUST-3611,Pens - Model 350
ORD-08ECD98C,2022-08-06,West,Technology,Copiers,2201.49,278.71,5,CUST-9411,Copiers - Model 783
ORD-1B0F3365,2023-03-31,South,Office Supplies,Binders,313.88,74.04,1,CUST-9989,Binders - Model 566
ORD-46338DD6,2024-06-05,South,Office Supplies,Paper,877.07,375.38,9,CUST-4862,Paper - Model 279
ORD-1F0E6F7A,2023-01-21,Central,Technology,Copiers,84.53,8.76,1,CUST-2029,Copiers - Model 598
ORD-1B46C5F5,2022-11-06,Central,Technology,Accessories,199.46,86.82,1,CUST-9150,Accessories - Model 258
ORD-86E4A539,2023-05-17,Central,Technology,Copiers,907.92,139.45,2,CUST-2524,Copiers - Model 217
ORD-023BC476,2022-12-11,West,Technology,Copiers,1392.1,107.55,10,CUST-4646,Copiers - Model 430
ORD-9A4B297B,2023-11-11,West,Technology,Accessories,2551.5,-415.17,6,CUST-9615,Accessories - Model 357
ORD-C535D827,2023-12-08,East,Furniture,Bookcases,2496.97,859.35,8,CUST-6838,Bookcases - Model 953
ORD-86EBAC0E,2024-04-11,Central,Furniture,Tables,77.27,28.31,3,CUST-5708,Tables - Model 592
ORD-64BA295F,2024-06-01,South,Furniture,Chairs,1179.31,367.98,4,CUST-7877,Chairs - Model 988
ORD-B3F088F4,2024-11-01,West,Technology,Copiers,360.18,163.89,3,CUST-6951,Copiers - Model 514
ORD-9C2DC0C4,2022-04-13,Central,Furniture,Chairs,1841.23,222.13,5,CUST-4392,Chairs - Model 416
ORD-6F171390,2024-02-24,Central,Office Supplies,Pens,212.82,83.36,2,CUST-5575,Pens - Model 441
ORD-FB36968B,2022-08-19,Central,Technology,Accessories,791.72,-90.92,7,CUST-9178,Accessories - Model 308
ORD-5C2794E0,2023-09-16,Central,Technology,Accessories,496.53,143.4,1,CUST-7141,Accessories - Model 296
ORD-2EA2B6D8,2024-06-12,South,Office Supplies,Binders,874.7,383.58,6,CUST-3399,Binders - Model 362
ORD-3C4EC549,2022-06-24,South,Office Supplies,Pens,2954.86,1391.73,6,CUST-2205,Pens - Model 565
ORD-370D4163,2024-11-17,West,Office Supplies,Binders,1422.97,293.74,3,CUST-4533,Binders - Model 289
ORD-1557C5AD,2023-02-01,Central,Furniture,Chairs,1781.86,2.8,5,CUST-6725,Chairs - Model 356
ORD-B3FFA62B,2024-09-09,South,Office Supplies,Binders,1967.15,296.76,4,CUST-3537,Binders - Model 114
ORD-3738961A,2022-03-23,Central,Office Supplies,Paper,2182.92,71.72,9,CUST-3501,Paper - Model 518
ORD-28BC729F,2022-07-07,West,Technology,Accessories,25.13,-4.54,1,CUST-7666,Accessories - Model 496
ORD-1A32DB5C,2022-01-23,East,Furniture,Tables,515.5,144.86,4,CUST-7895,Tables - Model 720
ORD-C5D2B494,2024-12-06,East,Office Supplies,Binders,237.23,23.84,1,CUST-1325,Binders - Model 351
ORD-BB816FA7,2024-10-19,East,Office Supplies,Binders,3898.2,690.07,8,CUST-4021,Binders - Model 439
ORD-7ACAC064,2023-06-01,East,Office Supplies,Binders,989.45,164.0,2,CUST-5997,Binders - Model 941
ORD-EB9400F3,2022-06-09,West,Office Supplies,Pens,122.05,30.55,6,CUST-3085,Pens - Model 755
ORD-D1C710FF,2022-05-21,South,Furniture,Tables,125.61,-0.08,6,CUST-2721,Tables - Model 567
ORD-350D7386,2022-08-31,South,Furniture,Tables,1274.69,-122.43,4,CUST-3751,Tables - Model 552
ORD-575C7E63,2024-11-05,South,Furniture,Chairs,2052.24,593.22,8,CUST-7590,Chairs - Model 462
ORD-CF919FBF,2022-04-14,East,Technology,Accessories,2688.6,11.45,9,CUST-2643,Accessories - Model 352
ORD-BAF455C2,2024-07-25,West,Office Supplies,Binders,963.11,315.48,5,CUST-2748,Binders - Model 917
ORD-F2D70E3D,2022-10-12,Central,Office Supplies,Pens,949.24,-180.82,3,CUST-3268,Pens - Model 688
ORD-07B1BD4B,2022-07-20,West,Furniture,Chairs,1070.22,-70.36,6,CUST-3838,Chairs - Model 771
ORD-92B6479A,2022-02-18,South,Technology,Copiers,585.83,74.81,4,CUST-8652,Copiers - Model 199
ORD-E5A82A68,2024-08-20,West,Furniture,Bookcases,3570.42,-361.71,8,CUST-5348,Bookcases - Model 901
ORD-A38A121E,2022-06-05,West,Office Supplies,Pens,366.85,40.84,5,CUST-6457,Pens - Model 967
ORD-5F315BD9,2024-12-19,East,Technology,Accessories,1757.72,267.7,4,CUST-2423,Accessories - Model 818
ORD-5CB360DE,2023-06-17,South,Office Supplies,Pens,2110.14,753.38,8,CUST-7227,Pens - Model 917
ORD-75B0B4EA,2022-11-23,South,Office Supplies,Pens,3584.92,103.16,8,CUST-7855,Pens - Model 731
ORD-457230DC,2023-02-04,South,Technology,Copiers,61.53,24.72,1,CUST-3803,Copiers - Model 896
ORD-D498AB72,2023-09-11,South,Office Supplies,Pens,202.42,86.88,2,CUST-4644,Pens - Model 410
ORD-966A5293,2024-02-08,Central,Office Supplies,Pens,1327.81,234.36,4,CUST-4434,Pens - Model 343
ORD-AE2B12F2,2022-10-29,South,Furniture,Bookcases,666.0,122.1,10,CUST-2357,Bookcases - Model 313
ORD-6D7C361C,2023-10-26,Central,Office Supplies,Pens,308.98,2.71,4,CUST-1496,Pens - Model 240
ORD-623651C5,2022-09-28,East,Office Supplies,Binders,2622.89,1083.57,10,CUST-7878,Binders - Model 337
ORD-A033D4ED,2024-12-11,South,Office Supplies,Pens,2237.55,290.71,5,CUST-9895,Pens - Model 595
ORD-C457857A,2024-01-22,Central,Office Supplies,Binders,4689.52,-823.81,10,CUST-8673,Binders - Model 835
ORD-701DF1B0,2022-04-13,West,Technology,Phones,3268.21,1317.31,9,CUST-2074,Phones - Model 746
ORD-95FBF41C,2023-04-14,East,Office Supplies,Paper,164.54,11.94,8,CUST-4240,Paper - Model 670
ORD-6C748B65,2022-02-26,East,Furniture,Bookcases,315.52,103.68,10,CUST-5975,Bookcases - Model 766
ORD-62EEAA5F,2023-12-07,South,Technology,Copiers,988.24,-113.53,4,CUST-2570,Copiers - Model 542
ORD-90E16897,2023-07-10,South,Technology,Phones,1067.5,-38.12,8,CUST-4847,Phones - Model 865
ORD-1BECEA42,2022-05-29,Central,Office Supplies,Paper,1707.86,704.72,5,CUST-4749,Paper - Model 620
ORD-82E9A220,2023-05-09,Central,Furniture,Tables,67.94,32.24,2,CUST-6816,Tables - Model 607
ORD-95748C90,2022-05-17,East,Technology,Phones,1646.52,64.95,9,CUST-7939,Phones - Model 589
ORD-51D7B599,2022-06-30,Central,Office Supplies,Pens,160.77,39.98,1,CUST-8849,Pens - Model 727
ORD-DE53385B,2024-05-25,South,Technology,Phones,3044.83,931.83,7,CUST-1457,Phones - Model 575
ORD-32BB0A31,2022-11-20,East,Office Supplies,Binders,258.19,79.8,1,CUST-1633,Binders - Model 682
ORD-ACCEF672,2023-02-04,South,Furniture,Chairs,1416.11,191.68,3,CUST-9726,Chairs - Model 795
ORD-C92BC493,2024-06-26,South,Furniture,Chairs,1956.94,154.01,7,CUST-9417,Chairs - Model 256
ORD-957E5D1A,2024-03-29,West,Office Supplies,Binders,1508.01,-59.04,6,CUST-8779,Binders - Model 176
ORD-8173BF65,2024-06-21,West,Office Supplies,Binders,376.02,130.79,2,CUST-6175,Binders - Model 139
ORD-90FDA380,2024-07-04,West,Office Supplies,Pens,485.63,-75.47,4,CUST-2453,Pens - Model 621
ORD-8288AA04,2023-02-10,West,Technology,Copiers,869.72,294.09,2,CUST-4218,Copiers - Model 753
ORD-3A5942EB,2024-11-11,South,Office Supplies,Pens,3411.65,968.5,8,CUST-1433,Pens - Model 947
ORD-0E485616,2024-01-06,East,Technology,Phones,159.36,18.63,3,CUST-9158,Phones - Model 343
ORD-4E27EB78,2022-06-11,East,Technology,Copiers,868.4,64.44,9,CUST-1225,Copiers - Model 219
ORD-22F21D6E,2022-11-11,East,Technology,Accessories,1368.36,528.12,7,CUST-5561,Accessories - Model 972
ORD-0BD56258,2022-12-31,Central,Furniture,Tables,1866.09,-129.01,9,CUST-9054,Tables - Model 464
ORD-F7E863DE,2022-05-08,West,Office Supplies,Pens,2933.32,-316.53,6,CUST-9366,Pens - Model 346
ORD-3A373641,2024-02-22,East,Furniture,Chairs,1385.64,204.01,3,CUST-7734,Chairs - Model 207
ORD-FD05154D,2023-05-06,East,Technology,Accessories,497.41,198.2,4,CUST-5464,Accessories - Model 579
ORD-FF9C9345,2023-10-22,West,Furniture,Tables,746.11,252.32,10,CUST-7373,Tables - Model 657
ORD-DB7E8936,2024-02-09,East,Technology,Copiers,990.98,429.95,6,CUST-4074,Copiers - Model 166
ORD-99E209D9,2023-12-15,Central,Office Supplies,Binders,1374.5,277.7,5,CUST-5980,Binders - Model 166
ORD-A15FB1DE,2022-09-20,Central,Office Supplies,Binders,1100.92,-134.38,8,CUST-9337,Binders - Model 278
ORD-848CA422,2023-06-05,Central,Office Supplies,Binders,525.63,249.2,8,CUST-7641,Binders - Model 842
ORD-DEFE9B12,2023-09-08,Central,Office Supplies,Binders,229.07,67.7,1,CUST-3987,Binders - Model 343
ORD-8E75872A,2023-03-07,Central,Office Supplies,Paper,651.8,-77.49,3,CUST-3180,Paper - Model 780
ORD-8FF89BE9,2023-08-03,West,Furniture,Chairs,1647.04,739.52,4,CUST-3025,Chairs - Model 810
ORD-CBF2F4EA,2024-04-15,West,Technology,Accessories,152.76,-27.4,2,CUST-2030,Accessories - Model 207
ORD-91426613,2023-10-10,East,Furniture,Bookcases,1022.93,0.48,6,CUST-4538,Bookcases - Model 521
ORD-B3C9E973,2023-04-18,Central,Furniture,Bookcases,2365.06,1046.48,10,CUST-5026,Bookcases - Model 811
ORD-1A71F878,2022-11-26,East,Office Supplies,Binders,263.21,39.43,1,CUST-5663,Binders - Model 942
ORD-5DC6DE15,2024-11-01,East,Technology,Phones,4471.56,-574.47,9,CUST-4697,Phones - Model 657
ORD-3542B19C,2024-09-02,South,Office Supplies,Pens,755.67,90.35,3,CUST-5452,Pens - Model 170
ORD-01B9CD96,2024-07-27,South,Furniture,Bookcases,1417.47,-279.05,5,CUST-4580,Bookcases - Model 130
ORD-B5B8416D,2024-11-22,East,Office Supplies,Pens,747.8,-6.59,3,CUST-6192,Pens - Model 812
ORD-34816A90,2023-10-31,East,Office Supplies,Pens,1590.65,785.12,4,CUST-4073,Pens - Model 569
ORD-48ACB916,2022-11-07,South,Furniture,Tables,556.11,174.69,2,CUST-1265,Tables - Model 624
ORD-A458402A,2022-04-30,West,Technology,Accessories,771.41,105.48,5,CUST-2765,Accessories - Model 908
ORD-EF89D31F,2024-09-22,Central,Office Supplies,Paper,4361.33,1703.83,10,CUST-1409,Paper - Model 884
ORD-4BD4E75B,2022-03-26,Central,Office Supplies,Paper,920.76,43.41,9,CUST-4881,Paper - Model 951
ORD-BB24873C,2022-02-08,East,Office Supplies,Paper,2453.14,-142.23,7,CUST-5044,Paper - Model 478
ORD-3358B4C5,2024-01-20,South,Furniture,Bookcases,1736.08,-238.84,5,CUST-4729,Bookcases - Model 212
ORD-C358BFA7,2022-12-24,East,Furniture,Bookcases,654.03,100.02,5,CUST-4256,Bookcases - Model 490
ORD-143429E1,2022-04-10,South,Furniture,Chairs,1043.47,-45.89,5,CUST-5027,Chairs - Model 694
ORD-2E3B316B,2024-07-14,Central,Technology,Accessories,2307.33,-211.9,6,CUST-6220,Accessories - Model 624
ORD-BE2C28F0,2022-08-08,Central,Technology,Phones,521.46,186.02,6,CUST-5875,Phones - Model 205
